Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,NTD Reporter Type,Primary UZA Population,Agency VOMS,Mode,Type of Service,Mode VOMS,Mode VOMS Questionable,Max Trains in Operation,Max Trains in Operation Questionable,Average Speed (mi/hr),Average Speed (mi/hr) Questionable,Average Passenger Trip Length (mi),Average Passenger Trip Length (mi) Questionable,Passengers per Hour,Passengers per Hour Questionable,Scheduled Vehicle Revenue Miles,Scheduled Vehicle Revenue Miles Questionable,Vehicle Miles,Vehicle Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Deadhead Miles, Deadhead Miles Questionable ,Vehicle Hours, Vehicle Hours Questionable ,Vehicle Revenue Hours, Vehicle Revenue Hours Questionable ,Deadhead Hours, Deadhead Hours Questionable ,Train Miles, Train Miles Questionable ,"Train 
Revenue
Miles", Train Revenue Miles Questionable ,Train Hours, Train Hours Questionable ,"Train 
Revenue 
Hours", Train Revenue Hours Questionable ,Unlinked Passenger Trips, Unlinked Passenger Trips Questionable ,Passenger Miles,Passenger Miles Questionable,Directional Route Miles,Directional Route Miles Questionable,Any data questionable
"Broward County Board of County Commissioners, dba: Broward County Transit Division",Fort Lauderdale,FL,4029,40029,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379",590,MB,DO,310,,0,,12.9,,4.81,,15.88,,"14,307,221",,"17,107,558",,14400090,,"2,707,468",,"1,213,164",,1116654,,"96,510",,0,,0,,0,,0,,17729665,,"85,204,847",,"1,286.10",,No
"Broward County Board of County Commissioners, dba: Broward County Transit Division",Fort Lauderdale,FL,4029,40029,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379",590,DR,PT,273,,0,,16.21,,10.53,,1.34,,0,,"8,965,858",,7210254,,"1,755,604",,"549,991",,444815,,"105,176",,0,,0,,0,,0,,597311,,"6,288,850",,0,,No
"City of Phoenix Public Transit Department, dba: Valley Metro",Phoenix,AZ,9032,90032,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,629,114",531,MB,PT,419,,0,,12.32,,3.54,,17.22,,"21,824,663",,"26,530,427",,21704348,,"4,826,079",,"2,057,036",,1761106,,"295,930",,0,,0,,0,,0,,30330695,,"107,447,927",,"1,612.00",,No
"City of Phoenix Public Transit Department, dba: Valley Metro",Phoenix,AZ,9032,90032,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,629,114",531,DR,PT,112,,0,,12.15,,7.59,,1.2,,0,,"3,683,070",,3043657,,"639,413",,"314,189",,250407,,"63,782",,0,,0,,0,,0,,299766,,"2,274,537",,0,,No
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit",Tacoma,WA,3,3,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,059,393",514,VP,DO,312,,0,,36.21,,30.08,,4.77,,0,,"3,015,970",,3015970,,0,,"83,295",,83295,,0,,0,,0,,0,,0,,397472,,"11,957,330",,0,,No
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit",Tacoma,WA,3,3,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,059,393",514,MB,DO,118,,0,,10.98,,4.31,,12.23,,"4,237,919",,"5,015,620",,4271293,,"744,327",,"432,154",,388929,,"43,225",,0,,0,,0,,0,,4755960,,"20,506,691",,516.9,,No
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit",Tacoma,WA,3,3,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,059,393",514,DR,PT,56,,0,,14.48,,7.21,,1.77,,0,,"1,118,661",,955755,,"162,906",,"75,704",,65990,,"9,714",,0,,0,,0,,0,,116883,,"842,269",,0,,No
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit",Tacoma,WA,3,3,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,059,393",514,DR,DO,28,,0,,13.53,,6.6,,1.98,,0,,"265,740",,228735,,"37,005",,"19,166",,16909,,"2,257",,0,,0,,0,,0,,33406,,"220,566",,0,,No
Delaware Transit Corporation,Dover,DE,3075,30075,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567",506,MB,PT,40,,0,,17.73,,7.65,,4.7,,"1,564,664",,"1,688,823",,1552091,,"136,732",,"94,226",,87564,,"6,662",,0,,0,,0,,0,,411365,,"3,147,446",,614.9,,No
Delaware Transit Corporation,Dover,DE,3075,30075,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567",506,MB,DO,161,,0,,15.79,,5.08,,13.42,,"6,641,250",,"7,262,857",,6585571,,"677,286",,"445,875",,417073,,"28,802",,0,,0,,0,,0,,5596057,,"28,400,008",,"1,622.40",,No
Delaware Transit Corporation,Dover,DE,3075,30075,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567",506,DR,DO,265,,0,,16.93,,12.11,,1.84,,0,,"7,467,239",,6182209,,"1,285,030",,"437,179",,365193,,"71,986",,0,,0,,0,,0,,672473,,"8,143,897",,0,,No
Delaware Transit Corporation,Dover,DE,3075,30075,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567",506,DR,PT,40,,0,,16.24,,12.67,,2.5,,0,,"813,695",,625994,,"187,701",,"50,657",,38556,,"12,101",,0,,0,,0,,0,,96449,,"1,222,077",,0,,No
"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, dba: St. Louis Metro",Saint Louis,MO,7006,70006,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,150,706",493,MB,DO,341,,0,,13.57,,5.58,,15.87,,"16,672,148",,"18,949,182",,16547896,,"2,401,286",,"1,318,669",,1219188,,"99,481",,0,,0,,0,,0,,19348534,,"108,060,041",,"1,502.30",,No
"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, dba: St. Louis Metro",Saint Louis,MO,7006,70006,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,150,706",493,LR,DO,50,,25,,23.19,,6.75,,41.74,,"5,954,691",,"5,905,439",,5839491,,"65,948",,"256,119",,251805,,"4,314",,"2,952,712",,"2,919,745",,"128,060",,"125,902",,10510179,,"70,933,375",,91.1,,No
"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, dba: St. Louis Metro",Saint Louis,MO,7006,70006,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,150,706",493,DR,DO,102,,0,,17.74,,11.47,,1.71,,0,,"4,545,439",,4293969,,"251,470",,"261,802",,242093,,"19,709",,0,,0,,0,,0,,412964,,"4,735,246",,0,,No
Montachusett Regional Transit Authority,Fitchburg,MA,1061,10061,Independent Public Agency or Authority of Transit Service,Full Reporter,"116,960",438,MB,PT,21,,0,,15.88,,4.2,,8.79,,"807,236",,"840,949",,801457,,"39,492",,"52,338",,50469,,"1,869",,0,,0,,0,,0,,443445,,"1,862,469",,197.8,,No
Montachusett Regional Transit Authority,Fitchburg,MA,1061,10061,Independent Public Agency or Authority of Transit Service,Full Reporter,"116,960",438,DR,TX,300,,0,,38.41,,10.07,,4.76,,0,,0,,1725457,,0,,0,,44919,,0,,0,,0,,0,,0,,213807,,"2,153,944",,0,,No
Montachusett Regional Transit Authority,Fitchburg,MA,1061,10061,Independent Public Agency or Authority of Transit Service,Full Reporter,"116,960",438,DR,PT,117,,0,,14.71,,7.5,,2.5,,0,,"1,974,533",,1614621,,"359,912",,"129,301",,109773,,"19,528",,0,,0,,0,,0,,274280,,"2,057,302",,0,,No
Enterprise Rideshare - Michigan,Farmington Hills,MI,5193,50193,Private Provider Reporting on Behalf of a Public Entity,Full Reporter,"3,734,090",429,VP,DO,429,,0,,43.83, W ,39.62,,4, W ,0,,"3,340,414",,3340414,,0,,"76,220",,76220, W ,0,,0,,0,,0,,0,,305108,,"12,089,479",,0,,Yes
"Board of County Commissioners, Palm Beach County, dba: Palm Tran",West Palm Beach,FL,4037,40037,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379",422,MB,DO,119,,0,,14.44,,5.26,,15.52,,"7,136,673",,"7,877,041",,7116877,,"760,164",,"518,898",,492902,,"25,996",,0,,0,,0,,0,,7651222,,"40,227,116",,975,,No
"Board of County Commissioners, Palm Beach County, dba: Palm Tran",West Palm Beach,FL,4037,40037,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379",422,DR,PT,303,,0,,14.62,,11.45,,1.37,,0,,"10,093,531",,8173085,,"1,920,446",,"780,425",,559043,,"221,382",,0,,0,,0,,0,,763100,,"8,740,662",,0,,No
The Greater Cleveland Regional Transit Authority,Cleveland,OH,5015,50015,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,780,673",418,LR,DO,6,,6,,14.08,,3.51, W ,14.46,,"559,327",,"577,077",,573726,,"3,351",,"41,389",,40747,,642,,"562,513",,"559,161",,"40,336",,"39,693",,589245,,"2,065,735",W,30.4,,Yes
The Greater Cleveland Regional Transit Authority,Cleveland,OH,5015,50015,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,780,673",418,MB,DO,254,,0,,11.65,,4.36, W ,11.89,,"11,621,207",,"13,151,562",,11615033,,"1,536,529",,"1,070,011",,996755,,"73,256",,0,,0,,0,,0,,11846793,,"51,619,308",W,"1,204.20",,Yes
The Greater Cleveland Regional Transit Authority,Cleveland,OH,5015,50015,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,780,673",418,HR,DO,16,,8,,19.01,,6.96, W ,20.61,,"2,472,057",,"2,440,418",,2434523,,"5,895",,"129,302",,128034,,"1,268",,"1,238,321",,"1,235,375",,"65,610",,"64,976",,2638201,,"18,361,515",W,38.1,,Yes
The Greater Cleveland Regional Transit Authority,Cleveland,OH,5015,50015,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,780,673",418,DR,PT,69,,0,,13.58,,8.32,,1.62,,0,,"1,330,479",,1128389,,"202,090",,"99,947",,83066,,"16,881",,0,,0,,0,,0,,134868,,"1,121,887",,0,,No
The Greater Cleveland Regional Transit Authority,Cleveland,OH,5015,50015,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,780,673",418,DR,DO,63,,0,,13.08,,7.39,,1.72,,0,,"1,712,014",,1453061,,"258,953",,"135,003",,111099,,"23,904",,0,,0,,0,,0,,191351,,"1,414,360",,0,,No
The Greater Cleveland Regional Transit Authority,Cleveland,OH,5015,50015,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,780,673",418,RB,DO,10,,0,,8.9,,2.81,,27.24,,"478,215",,"488,026",,477588,,"10,438",,"55,123",,53666,,"1,457",,0,,0,,0,,0,,1462001,,"4,106,941",,14.1,,No
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,3083,30083,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,439,666",417,VP,PT,46,,0,,31.9,,32.74,,5.63,,0,,"550,208",,550208,,0,,"17,249",,17249,,0,,0,,0,,0,,0,,97113,,"3,179,948",,0,,No
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,3083,30083,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,439,666",417,MB,DO,248,,0,,13.03,,4.83, W ,11.34,,"10,045,598",,"9,885,171",,9873487,,"11,684",,"763,282",,757574,,"5,708",,0,,0,,0,,0,,8587688,,"41,459,193",W,"1,129.90",,Yes
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,3083,30083,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,439,666",417,LR,DO,6,,6,,13.27,,3.23,,40.31,,"344,336",,"344,847",,343618,,"1,229",,"26,101",,25900,,201,,"344,847",,"343,618",,"26,101",,"25,900",,1044002,,"3,369,249",,14.8,,No
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,3083,30083,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,439,666",417,FB,PT,2,,0,,2.86,,0.72,,34.63,,"17,651",,"17,220",,17220,,0,,"6,016",,6016,,0,,0,,0,,0,,0,,208338,,"149,438",,2.9,,No
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,3083,30083,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,439,666",417,DR,TX,20,,0,,19.4,,10.06,,1.77,,0,,0,,256705,,0,,0,,13229,,0,,0,,0,,0,,0,,23377,,"235,196",,0,,No
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,3083,30083,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,439,666",417,DR,TN,4,,0,,31.47,,8.86,,4.16,,0,,0,,598,,0,,0,,19,,0,,0,,0,,0,,0,,79,,700,,0,,No
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,3083,30083,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,439,666",417,DR,PT,91,,0,,15.85,,9.71,,1.56,,0,,"3,804,012",,3187775,,"616,237",,"250,126",,201081,,"49,045",,0,,0,,0,,0,,312776,,"3,035,487",,0,,No
"City of Charlotte North Carolina, dba: Charlotte Area Transit System",Charlotte,NC,4008,40008,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"1,249,442",409,VP,DO,46,,0,,51.58,,42.4,,5.27,,0,,"835,029",,835029,,0,,"16,190",,16190,,0,,0,,0,,0,,0,,85334,,"3,617,785",,0,,No
"City of Charlotte North Carolina, dba: Charlotte Area Transit System",Charlotte,NC,4008,40008,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"1,249,442",409,SR,DO,0,,0,, -   ,, -   ,, -   ,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2.6,,No
"City of Charlotte North Carolina, dba: Charlotte Area Transit System",Charlotte,NC,4008,40008,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"1,249,442",409,MB,PT,190,,0,,13.24,,4.16,,16.06,,"10,012,161",,"10,865,503",,9866991,,"998,512",,"788,840",,745329,,"43,511",,0,,0,,0,,0,,11971059,,"49,774,530",,911,,No
"City of Charlotte North Carolina, dba: Charlotte Area Transit System",Charlotte,NC,4008,40008,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"1,249,442",409,LR,DO,36,,16,,16.14,,5.18,,55.53,,"2,178,959",,"2,267,166",,2110955,,"156,211",,"138,754",,130784,,"7,970",,"1,141,671",,"1,059,265",,"69,828",,"65,622",,7261944,,"37,638,865",,37.3,,No
"City of Charlotte North Carolina, dba: Charlotte Area Transit System",Charlotte,NC,4008,40008,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"1,249,442",409,DR,DO,73,,0,,15.89,,10.42,,1.65,,0,,"2,291,538",,1980134,,"311,404",,"149,429",,124578,,"24,851",,0,,0,,0,,0,,205685,,"2,142,285",,0,,No
"City of Charlotte North Carolina, dba: Charlotte Area Transit System",Charlotte,NC,4008,40008,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"1,249,442",409,CB,PT,64,,0,,21.15,,14.84,,12.49,,"918,323",,"1,375,474",,910371,,"465,103",,"62,751",,43035,,"19,716",,0,,0,,0,,0,,537364,,"7,973,574",,356.9,,No
Georgia State Road and Tollway Authority,Atlanta,GA,,40264,State Government Unit or Department of Transportation,Full Reporter,"4,515,419",390,VP,PT,261,,0,,37.49,,40.18,,4.96,,0,,"4,119,883",,4119883,,0,,"109,902",,109902,,0,,0,,0,,0,,0,,544819,,"21,888,715",,0,,No
Georgia State Road and Tollway Authority,Atlanta,GA,,40264,State Government Unit or Department of Transportation,Full Reporter,"4,515,419",390,CB,PT,129,,0,,22.86,,26.87,,14.04,,"2,228,064",,"4,718,267",,2217893,,"2,500,374",,"184,193",,97039,,"87,154",,0,,0,,0,,0,,1362125,,"36,603,480",,280.2,,No
Ben Franklin Transit,Richland,WA,18,18,Independent Public Agency or Authority of Transit Service,Full Reporter,"210,975",388,VP,DO,246,,0,,45.19,,34,,7.45,,0,,"1,345,779",,1345779,,0,,"29,782",,29782,,0,,0,,0,,0,,0,,221933,,"7,545,861",,0,,No
Ben Franklin Transit,Richland,WA,18,18,Independent Public Agency or Authority of Transit Service,Full Reporter,"210,975",388,MB,DO,47,,0,,15.74,,4.21,,6.92,,"2,758,248",,"2,892,034",,2770116,,"121,918",,"181,160",,176010,,"5,150",,0,,0,,0,,0,,1218177,,"5,128,525",,357,,No
Ben Franklin Transit,Richland,WA,18,18,Independent Public Agency or Authority of Transit Service,Full Reporter,"210,975",388,DR,PT,18,,0,,10.72,,6.25,,1.61,,0,,"138,151",,129882,,"8,269",,"12,532",,12121,,411,,0,,0,,0,,0,,19573,,"122,270",,0,,No
Ben Franklin Transit,Richland,WA,18,18,Independent Public Agency or Authority of Transit Service,Full Reporter,"210,975",388,DR,DO,77,,0,,14.93,,7.06,,1.89,,0,,"1,417,696",,1213395,,"204,301",,"88,927",,81272,,"7,655",,0,,0,,0,,0,,153730,,"1,085,298",,0,,No
"San Mateo County Transit District, dba: SamTrans",San Carlos,CA,9009,90009,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,281,212",383,MB,PT,79,,0,,13.13,,5.16, W ,12.08,,"2,462,337",,"3,477,096",,2477688,,"999,408",,"254,160",,188682,,"65,478",,0,,0,,0,,0,,2278824,,"11,755,631",W,358.8,,Yes
"San Mateo County Transit District, dba: SamTrans",San Carlos,CA,9009,90009,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,281,212",383,MB,DO,178,,0,,9.37,,3.58, W ,14.17,,"4,439,871",,"5,823,958",,4413769,,"1,410,189",,"536,204",,470958,,"65,246",,0,,0,,0,,0,,6674863,,"23,893,957",W,428.8,,Yes
"San Mateo County Transit District, dba: SamTrans",San Carlos,CA,9009,90009,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,281,212",383,DR,TX,47,,0,,25.81,,17.67, W ,2.73,,0,,0,,849993,,0,,0,,32939,,0,,0,,0,,0,,0,,90056,,"1,591,378",W,0,,Yes
"San Mateo County Transit District, dba: SamTrans",San Carlos,CA,9009,90009,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,281,212",383,DR,PT,79,,0,,12.14,,11.05, W ,1.71,,0,,"1,584,795",,1304818,,"279,977",,"123,323",,107484,,"15,839",,0,,0,,0,,0,,183512,,"2,028,378",W,0,,Yes
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",Seattle,WA,40,40,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,059,393",381,SR,DO,2,,2,,7.7,,0.89,,44.77,,"75,698",,"75,886",,75549,,337,,"9,852",,9811,,41,,"75,886",,"75,549",,"9,852",,"9,811",,439271,,"390,115",,3.6,,No
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",Seattle,WA,40,40,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,059,393",381,LR,DO,48,,17,,18.26,,6.3,,35.37,,"3,994,837",,"4,168,064",,4078592,,"89,472",,"233,843",,223374,,"10,469",,"1,165,448",,"1,140,397",,"65,104",,"61,879",,7900122,,"49,794,569",,40.4,,No
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",Seattle,WA,40,40,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,059,393",381,CR,PT,70,,23,,30.12,,25.19,,24.97,,"1,617,729",,"1,562,310",,1526737,,"35,573",,"54,020",,50694,,"3,326",,"250,453",,"244,746",,"8,818",,"8,281",,1265882,,"31,890,678",,163.8,,No
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",Seattle,WA,40,40,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,059,393",381,CB,PT,48,,0,,22.43,,16.47,,12.89,,"2,306,660",,"3,169,985",,2299292,,"870,693",,"138,614",,102510,,"36,104",,0,,0,,0,,0,,1321028,,"21,751,777",,191.3,,No
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",Seattle,WA,40,40,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,059,393",381,CB,DO,213,,0,,18.86,,14.36,,10.82,,"8,614,216",,"11,587,461",,8621772,,"2,965,689",,"576,002",,457057,,"118,945",,0,,0,,0,,0,,4943744,,"70,981,040",,624.4,,No
"Westchester County, dba: The Bee-Line System",White Plains,NY,2076,20076,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"18,351,295",373,MB,PT,270,,0,,10.74,,4.07,,25.42,,"7,096,113",,"8,960,386",,7031221,,"1,929,165",,"737,297",,654720,,"82,577",,0,,0,,0,,0,,16641134,,"67,733,951",,"1,014.20",,No
"Westchester County, dba: The Bee-Line System",White Plains,NY,2076,20076,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"18,351,295",373,DR,TX,28,,0,,23.09,,5.8,,4.45,,0,,0,,286514,,0,,0,,12411,,0,,0,,0,,0,,0,,55230,,"320,249",,0,,No
"Westchester County, dba: The Bee-Line System",White Plains,NY,2076,20076,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"18,351,295",373,DR,PT,75,,0,,16.12,,8.84,,1.27,,0,,"1,783,986",,1456527,,"327,459",,"102,444",,90372,,"12,072",,0,,0,,0,,0,,114339,,"1,010,528",,0,,No
"Milwaukee County, dba: Milwaukee County Transit System",Milwaukee,WI,5008,50008,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"1,376,476",371,MB,PT,280,,0,,12.3,,3.14,,14.64,,"15,387,957",,"16,283,557",,15148250,,"1,135,307",,"1,279,185",,1231961,,"47,224",,0,,0,,0,,0,,18040236,,"56,734,752",,"1,091.00",,No
"Milwaukee County, dba: Milwaukee County Transit System",Milwaukee,WI,5008,50008,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"1,376,476",371,DR,PT,91,,0,,13.45,,6.44,,1.94,,0,,"1,916,560",,1654125,,"262,435",,"147,407",,122985,,"24,422",,0,,0,,0,,0,,238641,,"1,536,011",,0,,No
"City of Los Angeles, dba: Los Angeles Department of Transportation",Los Angeles,CA,9147,90147,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"12,150,996",362,MB,PT,169,,0,,8.63,,1.77,,20.14,,"5,650,867",,"6,226,579",,5527221,,"699,358",,"696,293",,640574,,"55,719",,0,,0,,0,,0,,12899620,,"22,828,070",,389,,No
"City of Los Angeles, dba: Los Angeles Department of Transportation",Los Angeles,CA,9147,90147,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"12,150,996",362,DR,TX,9,,0,,12.54,,2.27,,6.5,,0,,0,,174236,,0,,0,,13889,,0,,0,,0,,0,,0,,90294,,"204,944",,0,,No
"City of Los Angeles, dba: Los Angeles Department of Transportation",Los Angeles,CA,9147,90147,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"12,150,996",362,DR,PT,93,,0,,7.99,,5.49,,1.58,,0,,"1,056,902",,865625,,"191,277",,"138,653",,108299,,"30,354",,0,,0,,0,,0,,171135,,"939,400",,0,,No
"City of Los Angeles, dba: Los Angeles Department of Transportation",Los Angeles,CA,9147,90147,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"12,150,996",362,CB,PT,91,,0,,20.45,,16.54,,13.66,,"1,681,341",,"3,354,029",,1661473,,"1,692,556",,"140,994",,81261,,"59,733",,0,,0,,0,,0,,1109805,,"18,358,077",,820.6,,No
Niagara Frontier Transportation Authority,Buffalo,NY,2004,20004,Independent Public Agency or Authority of Transit Service,Full Reporter,"935,906",359,MB,DO,267,,0,,10.61,,3.3,,24.61,,"8,299,501",,"10,257,037",,8366061,,"1,890,976",,"881,783",,788286,,"93,497",,0,,0,,0,,0,,19402251,,"64,045,022",,"1,076.00",,No
Niagara Frontier Transportation Authority,Buffalo,NY,2004,20004,Independent Public Agency or Authority of Transit Service,Full Reporter,"935,906",359,LR,DO,23,,7,,11.14,,2.67,,48.61,,"962,940",,"984,827",,968353,,"16,474",,"91,599",,86889,,"4,710",,"347,313",,"341,503",,"32,115",,"30,462",,4223681,,"11,262,397",,12.4,,No
Niagara Frontier Transportation Authority,Buffalo,NY,2004,20004,Independent Public Agency or Authority of Transit Service,Full Reporter,"935,906",359,DR,DO,69,,0,,18.23,,9.12,,1.98,,0,,"2,486,986",,2073772,,"413,214",,"143,101",,113774,,"29,327",,0,,0,,0,,0,,225748,,"2,058,515",,0,,No
Rhode Island Public Transit Authority,Providence,RI,1001,10001,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,190,956",344,VP,PT,49,,0,,43.68,,41.71,,5.55,,0,,"490,637",,490637,,0,,"11,233",,11233,,0,,0,,0,,0,,0,,62321,,"2,599,218",,0,,No
Rhode Island Public Transit Authority,Providence,RI,1001,10001,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,190,956",344,MB,DO,203,,0,,13.25,,4.96,,18.72,,"9,269,946",,"11,011,941",,9261055,,"1,750,886",,"758,114",,698982,,"59,132",,0,,0,,0,,0,,13085755,,"64,913,317",,"1,283.90",,No
Rhode Island Public Transit Authority,Providence,RI,1001,10001,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,190,956",344,DR,TX,7,,0,,30.26,,26.86,,3.05,,0,,0,,432901,,0,,0,,14305,,0,,0,,0,,0,,0,,43652,,"1,172,420",,0,,No
Rhode Island Public Transit Authority,Providence,RI,1001,10001,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,190,956",344,DR,DO,85,,0,,15.97,,10.82,,2.03,,0,,"2,537,887",,2119177,,"418,710",,"152,754",,132659,,"20,095",,0,,0,,0,,0,,268730,,"2,906,929",,0,,No
Transit Authority of River City,Louisville,KY,4018,40018,Independent Public Agency or Authority of Transit Service,Full Reporter,"972,546",341,MB,PT,2,,0,,6.81, W ,2.55,,12.24,,"31,062",,"42,345", W ,34511, W ,"7,834", W ,"5,624",,5071,,553,,0,,0,,0,,0,,62075,,"158,291",,12.8,,Yes
Transit Authority of River City,Louisville,KY,4018,40018,Independent Public Agency or Authority of Transit Service,Full Reporter,"972,546",341,MB,DO,183,,0,,12.43,,4.19,,15.44,,"6,572,053",,"7,389,560",,6568546,,"821,014",,"568,649",,528525,,"40,124",,0,,0,,0,,0,,8162440,,"34,200,624",,"1,338.60",,No
Transit Authority of River City,Louisville,KY,4018,40018,Independent Public Agency or Authority of Transit Service,Full Reporter,"972,546",341,DR,TX,69,,0,,14.54,,9.9,,1.58,,0,,0,,2014999,,0,,0,,138560,,0,,0,,0,,0,,0,,219391,,"2,172,264",,0,,No
Transit Authority of River City,Louisville,KY,4018,40018,Independent Public Agency or Authority of Transit Service,Full Reporter,"972,546",341,DR,PT,87,,0,,15.65,,9.71,,1.67,,0,,"2,746,752",,2509289,,"237,463",,"188,894",,160371,,"28,523",,0,,0,,0,,0,,267521,,"2,597,361",,0,,No
Suburban Mobility Authority for Regional Transportation,Detroit,MI,5031,50031,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,734,090",341,MB,DO,226,,0,,16.88,,10.73,,12.18,,"10,192,502",,"12,154,834",,10115439,,"2,039,395",,"670,645",,599336,,"71,309",,0,,0,,0,,0,,7301025,,"78,365,438",,"1,398.00",,No
Suburban Mobility Authority for Regional Transportation,Detroit,MI,5031,50031,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,734,090",341,DR,PT,21,,0,,12.18,,4.62,,3.04,,0,,"415,572",,375484,,"40,088",,"35,330",,30834,,"4,496",,0,,0,,0,,0,,93675,,"433,114",,0,,No
Suburban Mobility Authority for Regional Transportation,Detroit,MI,5031,50031,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,734,090",341,DR,DO,94,,0,,16.1,,7.84,,1.58,,0,,"3,011,096",,2585212,,"425,884",,"186,753",,160575,,"26,178",,0,,0,,0,,0,,253255,,"1,985,519",,0,,No
Central Ohio Transit Authority,Columbus,OH,5016,50016,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,368,035",338,MB,DO,268,,0,,12.51,,3.89,,12.06,,"10,980,322",,"12,696,687",,10703310,,"1,993,377",,"919,904",,855804,,"64,100",,0,,0,,0,,0,,10322492,,"40,149,895",,957.7,,No
